QualifiedApiName
AbnExperimentEngmtSgnlMtrc
ACE_Backlog__c
ACE_Bot_Interaction__c
ActiveFeatureLicenseMetric
ActivePermSetLicenseMetric
ActiveProfileMetric
AD_Group_Member__c
AD_User__c
ADA_Code_Request__c
AddressAutocompleteGoogleKey__c
AddressFieldsOnCase__c
Adherence__c
AnalyticsDashboardViewSpec
APS_Survey__c
Batch_Error_Log__c
Beth_Call_Summary__c
Call_Center_KPI__c
Call_Center_Summary__c
Case_Activity__c
Case_Template__c
CaseIntakeInstruction__c
CNA_ExistingPatientTmp__c
CNA_RobocallOptout__c
CNA_Tracking__c
Community_Partner__c
ContentWorkspaceDoc
ConvDefDialogDailyMetric
ConvDefDialogHourlyMetric
ConvDefSessionMetric
Credentials__c
CRMWebClient__Activity_Attribute__c
CRMWebClient__CallCenterCustomSettings__c
CRMWebClient__Interaction_Attribute__c
Customer_Inquiry__c
DataAssessmentFieldMetric
DataAssessmentMetric
DataAssessmentValueMetric
DataCleanRoomDataSpec
Deactivate_Trigger__c
denture_patient_survey__c
dfsle__AgreementConfiguration__c
dfsle__BulkList__c
dfsle__BulkStatus__c
dfsle__CustomParameterMap__c
dfsle__CustomRecipient__c
dfsle__Document__c
dfsle__Envelope__c
dfsle__EnvelopeConfiguration__c
dfsle__EnvelopeConfigurationDocument__c
dfsle__EnvelopeConfigurationRecipient__c
dfsle__EnvelopeLocalization__c
dfsle__EnvelopeStatus__c
dfsle__EOS_Type__c
dfsle__GenTemplate__c
dfsle__Log__c
dfsle__Recipient__c
dfsle__RecipientStatus__c
Disposition__c
Domain__c
Email_Blacklist__c
Email_Validation_Job__c
EmailLog__c
EnableChat__c
EngagementSignalCmpndMetric
EngagementSignalMetric
ers_datatableConfig__c
Existing_Patient_Call__c
Facebook_Form__c
Facebook_Setting__c
FB_Lead__c
FB_Lead_Zeta__c
FB_Page__c
footprint__All_Reports__c
footprint__Analysis_log__c
footprint__Foot_Print_RecordType__c
footprint__FootPrint__c
footprint__Footprint_AllFields__c
footprint__Footprint_AllFU__c
footprint__Footprint_AllObjects__c
footprint__Footprint_AllWF__c
footprint__Footprint_Line_Item__c
footprint__Footprint_Line_Item_Detail__c
footprint__footprint_Listview__c
Google_API_Key_Gen__c
Graphics_Pack_Example__c
HR_Data__c
HR_Settings__c
Incident_Affected_Contact__c
Individual_Provider__c
Initiatives__c
Insurance_Completed_Enrollments__c
Insurance_Intake__c
Insurance_Verification__c
Lead_Match__c
Legal_Contracts__c
LocalTimeQueue__c
Location_Assignment__c
LWCCaseTimer__Session_Time__c
MktSgmtActvContactPtSrc
MlFeatureValueMetric
MLModelMetric
MobileSecurityUserMetric
NetworkFeedResponseMetric
New_Patient_Appt__c
NVM_Inbound_Info__c
NVM_PCS__c
NVMConnect__ActiveDialEntry__c
NVMConnect__Aggregation__c
NVMConnect__Dial_Entry__c
NVMConnect__DialEntryCall__c
NVMConnect__DialList__c
NVMConnect__DialListAgent__c
NVMConnect__DialListDetail__c
NVMConnect__DialListProcessingTime__c
NVMConnect__PendingDialEntry__c
NVMConnect__ProcessedDialEntry__c
NVMConnect__Settings__c
NVMContactWorld__Background_Action__c
NVMContactWorld__CallEndEvent__c
NVMContactWorld__CaseRoutingRequest__c
NVMContactWorld__CLID_Prefix_Mapping__c
NVMContactWorld__DispositionCodes__c
NVMContactWorld__Field_Based_CLID_Mapping__c
NVMContactWorld__IncomingCallPoppingSettings__c
NVMContactWorld__InteractionEvent__c
NVMContactWorld__InteractionEventNote__c
NVMContactWorld__Log__c
NVMContactWorld__NvmNodes__c
NVMContactWorld__NvmRouting__c
NVMContactWorld__Poly__c
NVMContactWorld__Settings__c
NVMStatsSF__Category_Match__c
NVMStatsSF__CDR_NVM__c
NVMStatsSF__NVM_Agent_State_Detail__c
NVMStatsSF__NVM_Agent_Summary__c
NVMStatsSF__NVM_Call_Segment__c
NVMStatsSF__NVM_Call_Summary__c
NVMStatsSF__NVM_Outbound_CDR__c
NVMStatsSF__Participation__c
NVMStatsSF__Transaction__c
OAI_Survey__c
Office_Closing__c
ops_import__c
OrgMetric
Out_Of_Office__c
Out_Of_Office_Member__c
Patient_Caregiver__c
Patient_Intake__c
PlatformEventUsageMetric
Portal_Login_History__c
Practice_Attributes__c
Practice_Contact_Role__c
Practice_Fee__c
Practice_Info_Request__c
Practice_Message__c
Practice_Network_Provider__c
practice_review__c
PSR_Scorecard__c
PSR_Scorecard_Metrics__c
Purchasing__c
PushTopic
Quality_Monitoring_2023__c
Quality_Monitoring__c
Queue__c
Queue_Member__c
Queue_Report__c
rcsfl__AdminSetting__c
rcsfl__AdminUISetting__c
Recruitment__c
Scheduling_Requirements__c
ScorecardMetric
SelfSvcPortalTopic
Service_Orders__c
Sites__c
Special_Promotions__c
Stage_History__c
Straumann_Order__c
Straumann_Order_Item__c
Straumann_Product__c
Survey_01__c
Survey__c
survey_data_analysis__c
Survey_Question__c
Survey_Statistic__c
Survey_V2__c
SurveyCounters__c
SurveyQuestionResponse__c
SurveyTaker__c
tmp__c
tmp_opt_out__c
Topic
TwilioSF__BulkMessage__c
TwilioSF__Integration_Log__c
TwilioSF__Log__c
TwilioSF__Media__c
TwilioSF__Message__c
TwilioSF__Opt_In__c
TwilioSF__Opt_In_Keyword__c
TwilioSF__Team__c
TwilioSF__TeamMembers__c
TwilioSF__Twilio_Personal_Number__c
TwilioSF__TwilioLogSettings__c
TwilioSF__TwilioMetaData__c
TwilioSF__TwilioPublicAppConfig__c
VCCCore__CLID_Prefix_Mapping__c
VCCCore__DispositionCode__c
VCCCore__Field_Based_CLID_Mapping__c
VCCCore__Settings__c
VR__c
Weave_Tracker__c
zeta_event__c
zeta_settings__c
zeta_user__c
zip_code__c
ZipPracticeDistance__c
